Date_Time,t_in,t_out,temp_diff,power_heating,power_cooling,power_electricity,total_power
2020/01/01  01:00:00,11.6,-7.45,19.0481978184186,7.31,0.0,0.2,7.31
2020/01/01  02:00:00,11.6,-7.56,19.160008951784874,7.36,0.0,0.2,7.36
2020/01/01  03:00:00,11.58,-8.46,20.043658832839554,7.63,0.0,0.2,7.63
2020/01/01  04:00:00,11.54,-9.18,20.710559830345055,7.82,0.0,0.2,7.82
2020/01/01  05:00:00,11.49,-9.71,21.20117801513291,7.97,0.0,0.2,7.97
2020/01/01  06:00:00,11.44,-10.21,21.653338281382915,8.11,0.0,0.2,8.11
2020/01/01  07:00:00,11.41,-10.28,21.681511819182447,8.13,0.0,0.2,8.13
2020/01/01  08:00:00,11.4,-10.14,21.534786987425726,8.1,0.0,0.2,8.1
2020/01/01  09:00:00,11.39,-10.04,21.429201281556082,8.08,0.0,0.2,8.08
2020/01/01  10:00:00,11.4,-9.69,21.087857330907667,7.99,0.0,0.2,7.99
2020/01/01  11:00:00,11.44,-9.19,20.623825205974683,7.84,0.0,0.2,7.84
2020/01/01  12:00:00,11.48,-8.69,20.169262854234965,7.69,0.0,0.2,7.69
2020/01/01  13:00:00,11.53,-8.06,19.58900380439346,7.51,0.0,0.2,7.51
2020/01/01  14:00:00,11.58,-7.36,18.93799070289956,7.29,0.0,0.2,7.29
2020/01/01  15:00:00,11.59,-6.66,18.249218787530836,7.04,0.0,0.2,7.04
2020/01/01  16:00:00,11.58,-6.65,18.23352271063959,7.04,0.0,0.2,7.04
2020/01/01  17:00:00,11.58,-6.99,18.57062447085206,7.16,0.0,0.2,7.16
2020/01/01  18:00:00,11.59,-7.35,18.935187770373354,7.28,0.0,0.2,7.28
2020/01/01  19:00:00,11.59,-7.44,19.025591920133134,7.3,0.0,0.2,7.3
2020/01/01  20:00:00,11.59,-7.4,18.991035269910526,7.28,0.0,0.2,7.28
2020/01/01  21:00:00,11.59,-7.34,18.930748923543774,7.24,0.0,0.2,7.24
2020/01/01  22:00:00,11.59,-7.49,19.08203356709479,7.29,0.0,0.2,7.29
2020/01/01  23:00:00,11.6,-7.79,19.382946279689698,7.39,0.0,0.2,7.39
2020/01/01  23:59:59,11.59,-8.09,19.68242570986157,7.49,0.0,0.2,7.49
2020/01/02  01:00:00,11.59,-8.26,19.850611117062197,7.54,0.0,0.2,7.54
2020/01/02  02:00:00,11.58,-8.3,19.883650733278643,7.55,0.0,0.2,7.55
2020/01/02  03:00:00,11.58,-8.36,19.942266741914352,7.57,0.0,0.2,7.57
2020/01/02  04:00:00,11.57,-8.53,20.094124449042702,7.62,0.0,0.2,7.62
2020/01/02  05:00:00,11.55,-8.72,20.276029833265607,7.68,0.0,0.2,7.68
2020/01/02  06:00:00,11.67,-8.93,20.595263649773127,8.73,0.0,0.2,8.73
2020/01/02  07:00:00,11.8,-8.94,20.733703658723407,8.73,0.0,0.2,8.73
2020/01/02  08:00:00,13.35,-8.9,22.24982193481997,8.85,0.0,10.87,8.85
2020/01/02  09:00:00,14.24,-8.84,23.07447767350066,8.98,0.0,10.87,8.98
2020/01/02  10:00:00,13.94,-8.67,22.617867710912236,9.24,0.0,10.86,9.24
2020/01/02  11:00:00,13.82,-8.47,22.29969498777993,9.24,0.0,10.82,9.24
2020/01/02  12:00:00,13.96,-8.28,22.23286007094977,9.24,0.0,10.77,9.24
2020/01/02  13:00:00,14.47,-8.14,22.61171643809518,9.11,0.0,10.77,9.11
2020/01/02  14:00:00,14.86,-8.1,22.963097962846575,9.11,0.0,10.78,9.11
2020/01/02  15:00:00,14.68,-8.04,22.71816826109046,9.24,0.0,10.81,9.24
2020/01/02  16:00:00,14.58,-8.31,22.88954364587737,9.24,0.0,10.85,9.24
2020/01/02  17:00:00,14.51,-8.81,23.32303691180269,9.24,0.0,10.87,9.24
2020/01/02  18:00:00,15.19,-9.31,24.498118425147563,8.98,0.0,10.87,8.98
2020/01/02  19:00:00,16.18,-9.56,25.73884406676231,8.85,0.0,10.87,8.85
2020/01/02  20:00:00,14.08,-9.66,23.74182280454806,0.46,0.0,3.66,0.46
2020/01/02  21:00:00,12.59,-9.76,22.348281192082577,4.3,0.0,0.2,4.3
2020/01/02  22:00:00,12.33,-10.18,22.503498960128255,5.95,0.0,0.2,5.95
2020/01/02  23:00:00,12.21,-10.71,22.919300593884003,6.57,0.0,0.2,6.57
2020/01/02  23:59:59,12.13,-11.28,23.40176860009924,7.03,0.0,0.2,7.03
2020/01/03  01:00:00,12.07,-11.62,23.69421530156602,7.34,0.0,0.2,7.34
2020/01/03  02:00:00,12.02,-11.89,23.90377230943054,7.54,0.0,0.2,7.54
2020/01/03  03:00:00,11.95,-12.12,24.070469022123902,7.68,0.0,0.2,7.68
2020/01/03  04:00:00,11.89,-12.01,23.903018395280057,7.72,0.0,0.2,7.72
2020/01/03  05:00:00,11.86,-11.78,23.634760952611657,7.72,0.0,0.2,7.72
2020/01/03  06:00:00,11.99,-11.51,23.501838196867848,8.73,0.0,0.2,8.73
2020/01/03  07:00:00,12.14,-11.34,23.4751410271368,8.73,0.0,0.2,8.73
2020/01/03  08:00:00,13.58,-11.18,24.754617297153576,8.85,0.0,10.87,8.85
2020/01/03  09:00:00,14.46,-11.04,25.49795351358244,8.98,0.0,10.87,8.98
2020/01/03  10:00:00,13.92,-10.94,24.856863346885227,9.24,0.0,10.86,9.24
2020/01/03  11:00:00,13.62,-10.9,24.51752118069414,9.24,0.0,10.82,9.24
2020/01/03  12:00:00,13.62,-10.84,24.45330399869176,9.24,0.0,10.78,9.24
2020/01/03  13:00:00,14.04,-10.86,24.907384205496527,9.11,0.0,10.76,9.11
2020/01/03  14:00:00,14.38,-10.9,25.276152852208206,9.11,0.0,10.78,9.11
2020/01/03  15:00:00,14.1,-10.96,25.06238446640591,9.24,0.0,10.8,9.24
2020/01/03  16:00:00,13.9,-11.19,25.088700685994848,9.24,0.0,10.85,9.24
2020/01/03  17:00:00,13.81,-11.55,25.361148513044412,9.24,0.0,10.87,9.24
2020/01/03  18:00:00,14.5,-11.89,26.382843427881475,8.98,0.0,10.87,8.98
2020/01/03  19:00:00,15.57,-12.06,27.630592633880468,8.85,0.0,10.87,8.85
2020/01/03  20:00:00,13.7,-12.23,25.920052507629435,0.84,0.0,3.66,0.84
2020/01/03  21:00:00,12.52,-12.36,24.88713400195884,5.74,0.0,0.2,5.74
2020/01/03  22:00:00,12.33,-12.71,25.04161488020258,6.84,0.0,0.2,6.84
2020/01/03  23:00:00,12.21,-13.15,25.363984022935277,7.37,0.0,0.2,7.37
2020/01/03  23:59:59,12.08,-13.61,25.69561107851452,7.69,0.0,0.2,7.69
2020/01/04  01:00:00,11.97,-13.55,25.51987821421699,7.81,0.0,0.2,7.81
2020/01/04  02:00:00,11.91,-13.15,25.06226117633843,7.8,0.0,0.2,7.8
2020/01/04  03:00:00,11.88,-12.75,24.627144770709698,7.77,0.0,0.2,7.77
2020/01/04  04:00:00,11.85,-12.41,24.261997992031436,7.74,0.0,0.2,7.74
2020/01/04  05:00:00,11.83,-12.05,23.876576565648016,7.71,0.0,0.2,7.71
2020/01/04  06:00:00,11.96,-11.71,23.675725552165403,8.73,0.0,0.2,8.73
2020/01/04  07:00:00,12.11,-11.54,23.652276022940953,8.73,0.0,0.2,8.73
2020/01/04  08:00:00,13.56,-11.38,24.935577369890435,8.85,0.0,10.87,8.85
2020/01/04  09:00:00,14.44,-11.24,25.678798807517058,8.98,0.0,10.87,8.98
2020/01/04  10:00:00,13.9,-11.01,24.91662794346235,9.24,0.0,10.86,9.24
2020/01/04  11:00:00,13.64,-10.78,24.41670645917128,9.24,0.0,10.84,9.24
2020/01/04  12:00:00,13.69,-10.51,24.20592097484665,9.24,0.0,10.84,9.24
2020/01/04  13:00:00,14.2,-10.21,24.415159098801972,9.11,0.0,10.83,9.11
2020/01/04  14:00:00,14.63,-9.91,24.543443151082123,9.11,0.0,10.84,9.11
2020/01/04  15:00:00,14.45,-9.61,24.06745867941789,9.24,0.0,10.85,9.24
2020/01/04  16:00:00,14.39,-9.44,23.832306003139504,9.24,0.0,10.86,9.24
2020/01/04  17:00:00,14.47,-9.28,23.743548948112384,9.24,0.0,10.87,9.24
2020/01/04  18:00:00,15.33,-9.14,24.464912525937116,8.98,0.0,10.87,8.98
2020/01/04  19:00:00,16.48,-9.1,25.577851934168187,8.85,0.0,10.87,8.85
2020/01/04  20:00:00,14.37,-9.04,23.4044192505159,0.34,0.0,3.66,0.34
2020/01/04  21:00:00,12.72,-9.0,21.721656058562697,3.4,0.0,0.2,3.4
2020/01/04  22:00:00,12.41,-9.06,21.471998984329076,5.17,0.0,0.2,5.17
2020/01/04  23:00:00,12.28,-9.22,21.504572685762327,5.74,0.0,0.2,5.74
2020/01/04  23:59:59,12.19,-9.36,21.55610615219731,6.09,0.0,0.2,6.09
2020/01/05  01:00:00,12.13,-9.34,21.46938840866076,6.28,0.0,0.2,6.28
2020/01/05  02:00:00,12.08,-9.3,21.384381319261472,6.42,0.0,0.2,6.42
2020/01/05  03:00:00,12.05,-9.24,21.28327902682222,6.51,0.0,0.2,6.51
2020/01/05  04:00:00,12.01,-9.2,21.212677501152157,6.59,0.0,0.2,6.59
2020/01/05  05:00:00,11.98,-9.2,21.18430341661788,6.68,0.0,0.2,6.68
2020/01/05  06:00:00,12.31,-9.2,21.51394400897727,8.73,0.0,0.2,8.73
2020/01/05  07:00:00,12.58,-9.89,22.467770810817086,8.73,0.0,0.2,8.73
2020/01/05  08:00:00,13.95,-10.99,24.932875842639362,8.85,0.0,10.87,8.85
2020/01/05  09:00:00,14.58,-12.09,26.663364638218688,8.98,0.0,10.87,8.98
2020/01/05  10:00:00,13.89,-11.5,25.392588669941922,9.24,0.0,10.85,9.24
2020/01/05  11:00:00,13.86,-9.84,23.694286746212043,9.24,0.0,10.82,9.24
2020/01/05  12:00:00,14.29,-8.2,22.49450069256624,9.24,0.0,10.79,9.24
2020/01/05  13:00:00,15.08,-7.35,22.433916139310213,9.11,0.0,10.8,9.11
2020/01/05  14:00:00,15.63,-7.01,22.639161879897777,9.11,0.0,10.83,9.11
2020/01/05  15:00:00,15.55,-6.65,22.198965663103458,9.24,0.0,10.85,9.24
2020/01/05  16:00:00,15.57,-6.62,22.19228693787588,9.24,0.0,10.86,9.24
2020/01/05  17:00:00,15.61,-6.89,22.494586085754648,9.24,0.0,10.87,9.24
2020/01/05  18:00:00,16.38,-7.12,23.503230003853492,8.98,0.0,10.87,8.98
2020/01/05  19:00:00,17.41,-7.33,24.736652295233995,8.27,0.0,10.87,8.27
2020/01/05  20:00:00,15.14,-7.53,22.666619747595526,0.04,0.0,3.66,0.04
2020/01/05  21:00:00,13.06,-7.72,20.78719710264801,1.84,0.0,0.2,1.84
2020/01/05  22:00:00,12.58,-8.3,20.87559991779726,4.28,0.0,0.2,4.28
2020/01/05  23:00:00,12.42,-9.1,21.521549153947205,5.21,0.0,0.2,5.21
2020/01/05  23:59:59,12.32,-9.9,22.21902038080715,5.86,0.0,0.2,5.86
2020/01/06  01:00:00,12.25,-10.39,22.63465856358321,6.29,0.0,0.2,6.29
2020/01/06  02:00:00,12.19,-10.75,22.942676497158423,6.6,0.0,0.2,6.6
2020/01/06  03:00:00,12.15,-11.09,23.236066468305516,6.86,0.0,0.2,6.86
2020/01/06  04:00:00,12.11,-11.26,23.37360837576999,7.03,0.0,0.2,7.03
2020/01/06  05:00:00,12.08,-11.3,23.377845540570675,7.13,0.0,0.2,7.13
2020/01/06  06:00:00,12.3,-11.36,23.66424937104105,8.73,0.0,0.2,8.73
2020/01/06  07:00:00,12.52,-11.21,23.73470532100142,8.73,0.0,0.2,8.73
2020/01/06  08:00:00,14.15,-10.85,25.001520383385465,8.85,0.0,10.87,8.85
2020/01/06  09:00:00,14.95,-10.51,25.460212770916243,8.98,0.0,10.87,8.98
2020/01/06  10:00:00,14.51,-9.84,24.346432955605895,9.24,0.0,10.86,9.24
2020/01/06  11:00:00,14.45,-8.88,23.32440593964802,9.24,0.0,10.85,9.24
2020/01/06  12:00:00,14.75,-7.94,22.684920259515287,9.24,0.0,10.83,9.24
2020/01/06  13:00:00,15.38,-7.79,23.17143013224015,9.11,0.0,10.83,9.11
2020/01/06  14:00:00,15.73,-8.03,23.75483334207383,9.11,0.0,10.84,9.11
2020/01/06  15:00:00,15.42,-8.29,23.709099217027507,9.24,0.0,10.85,9.24
2020/01/06  16:00:00,15.25,-8.46,23.712252163713515,9.24,0.0,10.86,9.24
2020/01/06  17:00:00,15.23,-8.62,23.854158437440034,9.24,0.0,10.87,9.24
2020/01/06  18:00:00,16.01,-8.76,24.77081910562857,8.98,0.0,10.87,8.98
2020/01/06  19:00:00,17.11,-8.74,25.850889993749707,8.85,0.0,10.87,8.85
2020/01/06  20:00:00,14.93,-8.57,23.50058799779716,0.09,0.0,3.66,0.09
2020/01/06  21:00:00,13.01,-8.44,21.443953070320042,2.09,0.0,0.2,2.09
2020/01/06  22:00:00,12.58,-8.59,21.165889567212147,4.35,0.0,0.2,4.35
2020/01/06  23:00:00,12.43,-8.83,21.258083597537265,5.06,0.0,0.2,5.06
2020/01/06  23:59:59,12.34,-9.09,21.42349471409478,5.52,0.0,0.2,5.52
2020/01/07  01:00:00,12.27,-9.07,21.34282534011874,5.76,0.0,0.2,5.76
2020/01/07  02:00:00,12.22,-8.81,21.029902107070793,5.85,0.0,0.2,5.85
2020/01/07  03:00:00,12.18,-8.57,20.752329469933652,5.9,0.0,0.2,5.9
2020/01/07  04:00:00,12.15,-6.0,18.146304916198737,5.11,0.0,0.2,5.11
2020/01/07  05:00:00,12.12,-5.94,18.052718675633983,5.19,0.0,0.2,5.19
2020/01/07  06:00:00,12.08,-8.18,20.25779741471977,6.06,0.0,0.2,6.06
2020/01/07  07:00:00,12.06,-8.19,20.24293928371687,6.14,0.0,0.2,6.14
2020/01/07  08:00:00,12.03,-6.95,18.982257687980645,5.78,0.0,0.2,5.78
2020/01/07  09:00:00,12.01,-5.69,17.699146288514,5.4,0.0,0.2,5.4
2020/01/07  10:00:00,11.99,-5.08,17.06755901272247,5.25,0.0,0.2,5.25
2020/01/07  11:00:00,11.97,-4.81,16.787458545183984,5.21,0.0,0.2,5.21
2020/01/07  12:00:00,11.96,-4.58,16.53350374169388,5.18,0.0,0.2,5.18
2020/01/07  13:00:00,11.94,-4.56,16.505537634516752,5.23,0.0,0.2,5.23
2020/01/07  14:00:00,11.93,-4.6,16.528530719560486,5.28,0.0,0.2,5.28
2020/01/07  15:00:00,11.91,-4.66,16.576552298644472,5.35,0.0,0.2,5.35
2020/01/07  16:00:00,11.9,-4.7,16.599349080944148,5.4,0.0,0.2,5.4
2020/01/07  17:00:00,11.89,-4.7,16.586309878198563,5.44,0.0,0.2,5.44
2020/01/07  18:00:00,11.87,-4.7,16.574989789388088,5.47,0.0,0.2,5.47
2020/01/07  19:00:00,11.86,-4.83,16.689131875103065,5.54,0.0,0.2,5.54
2020/01/07  20:00:00,11.85,-5.03,16.87840881122424,5.64,0.0,0.2,5.64
2020/01/07  21:00:00,11.84,-5.22,17.06803407588505,5.74,0.0,0.2,5.74
2020/01/07  22:00:00,11.83,-5.42,17.258254664214775,5.84,0.0,0.2,5.84
2020/01/07  23:00:00,11.82,-5.69,17.511406729449646,5.96,0.0,0.2,5.96
2020/01/07  23:59:59,11.82,-5.92,17.74001730909543,6.07,0.0,0.2,6.07
2020/01/08  01:00:00,11.81,-6.06,17.869238175733948,6.15,0.0,0.2,6.15
2020/01/08  02:00:00,11.8,-6.16,17.961264773094843,6.21,0.0,0.2,6.21
2020/01/08  03:00:00,11.79,-6.26,18.053877164137756,6.26,0.0,0.2,6.26
2020/01/08  04:00:00,11.78,-6.3,18.08454457850519,6.3,0.0,0.2,6.3
2020/01/08  05:00:00,11.78,-6.3,18.078254510180372,6.32,0.0,0.2,6.32
2020/01/08  06:00:00,11.77,-6.3,18.07223004419364,6.34,0.0,0.2,6.34
2020/01/08  07:00:00,11.77,-6.3,18.066378817054197,6.35,0.0,0.2,6.35
2020/01/08  08:00:00,11.76,-6.3,18.060469660982424,6.37,0.0,0.2,6.37
2020/01/08  09:00:00,11.75,-6.3,18.05459606058059,6.39,0.0,0.2,6.39
2020/01/08  10:00:00,11.75,-5.99,17.737479700537182,6.3,0.0,0.2,6.3
2020/01/08  11:00:00,11.75,-5.49,17.23400554253789,6.14,0.0,0.2,6.14
2020/01/08  12:00:00,11.74,-4.99,16.731018334116825,5.98,0.0,0.2,5.98
2020/01/08  13:00:00,11.74,-4.74,16.47791668254058,5.9,0.0,0.2,5.9
2020/01/08  14:00:00,11.74,-4.58,16.312075969441157,5.85,0.0,0.2,5.85
2020/01/08  15:00:00,11.73,-4.44,16.170482131870106,5.82,0.0,0.2,5.82
2020/01/08  16:00:00,11.73,-4.59,16.315187646249527,5.89,0.0,0.2,5.89
2020/01/08  17:00:00,11.72,-4.83,16.54846244052196,5.98,0.0,0.2,5.98
2020/01/08  18:00:00,11.72,-5.09,16.808092889277255,6.07,0.0,0.2,6.07
2020/01/08  19:00:00,11.72,-5.2,16.918216208166953,6.12,0.0,0.2,6.12
2020/01/08  20:00:00,11.72,-5.26,16.978359695785805,6.15,0.0,0.2,6.15
2020/01/08  21:00:00,11.71,-5.3,17.01348863081668,6.17,0.0,0.2,6.17
2020/01/08  22:00:00,11.71,-5.3,17.011189283675215,6.17,0.0,0.2,6.17
2020/01/08  23:00:00,11.71,-5.36,17.071200721564065,6.2,0.0,0.2,6.2
2020/01/08  23:59:59,11.71,-5.4,17.106221353719526,6.22,0.0,0.2,6.22
2020/01/09  01:00:00,11.7,-5.4,17.10410742501658,6.22,0.0,0.2,6.22
